effect,group,term,estimate,std.error,statistic,df,p.value
ran_pars,Residual,sd__Observation,199.548,NA,NA,NA,NA
fixed,NA,(Intercept),812.446,15.214,53.403,110.225,0
fixed,NA,X_i,44.474,23.308,1.908,49.333,0.062
ran_pars,subj_id,sd__(Intercept),98.832,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.222,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,28.589,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.253,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.921,NA,NA,NA,NA
fixed,NA,(Intercept),794.103,15.851,50.099,105.784,0
fixed,NA,X_i,31.746,24.933,1.273,50.188,0.209
ran_pars,subj_id,sd__(Intercept),99.737,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.034,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.18,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.762,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.006,NA,NA,NA,NA
fixed,NA,(Intercept),808.641,15.009,53.878,119.75,0
fixed,NA,X_i,61.72,22.325,2.765,53.175,0.008
ran_pars,subj_id,sd__(Intercept),103.588,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.092,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.558,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.209,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.769,NA,NA,NA,NA
fixed,NA,(Intercept),804.022,13.455,59.757,121.916,0
fixed,NA,X_i,81.419,19.322,4.214,50.577,0
ran_pars,subj_id,sd__(Intercept),95.106,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.033,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,33.178,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),64.282,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.218,NA,NA,NA,NA
fixed,NA,(Intercept),799.116,15.533,51.447,100.481,0
fixed,NA,X_i,60.093,25.162,2.388,51.4,0.021
ran_pars,subj_id,sd__(Intercept),94.125,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.14,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,47.368,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),85.132,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.435,NA,NA,NA,NA
fixed,NA,(Intercept),834.641,15.065,55.404,108.913,0
fixed,NA,X_i,59.146,23.279,2.541,49.784,0.014
ran_pars,subj_id,sd__(Intercept),97.014,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.025,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,32.619,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.004,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.865,NA,NA,NA,NA
fixed,NA,(Intercept),789.204,14.901,52.962,99.477,0
fixed,NA,X_i,92.943,24.024,3.869,49.871,0
ran_pars,subj_id,sd__(Intercept),89.829,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.38,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,34.282,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.672,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.332,NA,NA,NA,NA
fixed,NA,(Intercept),794.567,15.773,50.374,122.658,0
fixed,NA,X_i,19.253,23.003,0.837,52.266,0.406
ran_pars,subj_id,sd__(Intercept),110.635,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.22,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,48.516,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.932,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.282,NA,NA,NA,NA
fixed,NA,(Intercept),792.299,17.049,46.471,100.882,0
fixed,NA,X_i,44.161,27.213,1.623,48.58,0.111
ran_pars,subj_id,sd__(Intercept),103.326,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.119,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,22.076,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),93.808,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.004,NA,NA,NA,NA
fixed,NA,(Intercept),823.299,15.146,54.358,124.441,0
fixed,NA,X_i,56.899,21.902,2.598,53.276,0.012
ran_pars,subj_id,sd__(Intercept),107.712,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.163,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.146,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.631,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.442,NA,NA,NA,NA
fixed,NA,(Intercept),794.583,13.743,57.819,107.651,0
fixed,NA,X_i,21.133,21.111,1.001,48.125,0.322
ran_pars,subj_id,sd__(Intercept),88.167,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.815,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,10.809,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.845,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.644,NA,NA,NA,NA
fixed,NA,(Intercept),800.304,17.094,46.819,104.991,0
fixed,NA,X_i,78.537,26.884,2.921,49.021,0.005
ran_pars,subj_id,sd__(Intercept),106.549,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.353,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,28.412,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),92.49,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,194.638,NA,NA,NA,NA
fixed,NA,(Intercept),809.057,17.535,46.138,99.931,0
fixed,NA,X_i,21.918,28.377,0.772,50.351,0.443
ran_pars,subj_id,sd__(Intercept),105.417,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.363,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.524,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),97.099,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.469,NA,NA,NA,NA
fixed,NA,(Intercept),810.671,15.447,52.482,103.644,0
fixed,NA,X_i,67.337,24.556,2.742,50.448,0.008
ran_pars,subj_id,sd__(Intercept),95.803,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.317,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.678,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),83.369,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.587,NA,NA,NA,NA
fixed,NA,(Intercept),797.952,17.568,45.42,101.924,0
fixed,NA,X_i,71.361,28.161,2.534,50.215,0.014
ran_pars,subj_id,sd__(Intercept),107.245,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.537,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.039,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),96.267,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.479,NA,NA,NA,NA
fixed,NA,(Intercept),804.201,15.48,51.95,98.852,0
fixed,NA,X_i,50.121,25.041,2.002,49.906,0.051
ran_pars,subj_id,sd__(Intercept),92.796,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.298,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.97,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),85.24,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.568,NA,NA,NA,NA
fixed,NA,(Intercept),782.762,15.51,50.47,124.977,0
fixed,NA,X_i,-3.329,22.13,-0.15,51.301,0.881
ran_pars,subj_id,sd__(Intercept),110.651,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.345,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.59,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.134,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.392,NA,NA,NA,NA
fixed,NA,(Intercept),806.376,15.134,53.283,107.075,0
fixed,NA,X_i,48.227,23.44,2.058,48.553,0.045
ran_pars,subj_id,sd__(Intercept),96.23,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.181,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,19.24,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.151,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.317,NA,NA,NA,NA
fixed,NA,(Intercept),808.317,15.124,53.446,129.401,0
fixed,NA,X_i,80.843,20.459,3.951,48.052,0
ran_pars,subj_id,sd__(Intercept),111.424,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-1,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,4.824,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),69.487,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.201,NA,NA,NA,NA
fixed,NA,(Intercept),774.341,13.539,57.194,115.184,0
fixed,NA,X_i,83.814,20.366,4.115,51.457,0
ran_pars,subj_id,sd__(Intercept),91.368,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.195,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.362,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),67.844,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.055,NA,NA,NA,NA
fixed,NA,(Intercept),823.177,13.995,58.821,108.423,0
fixed,NA,X_i,97.116,21.712,4.473,50.665,0
ran_pars,subj_id,sd__(Intercept),90.234,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.186,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.017,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.907,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.455,NA,NA,NA,NA
fixed,NA,(Intercept),800.875,16.453,48.676,114.975,0
fixed,NA,X_i,55.284,24.723,2.236,49.465,0.03
ran_pars,subj_id,sd__(Intercept),109.705,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.224,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.357,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.366,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.988,NA,NA,NA,NA
fixed,NA,(Intercept),772.773,15.84,48.785,112.939,0
fixed,NA,X_i,34.171,23.989,1.424,49.249,0.161
ran_pars,subj_id,sd__(Intercept),104.431,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.172,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,28.317,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.835,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.99,NA,NA,NA,NA
fixed,NA,(Intercept),809.998,16.823,48.15,110.791,0
fixed,NA,X_i,64.515,25.844,2.496,49.615,0.016
ran_pars,subj_id,sd__(Intercept),109.057,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.08,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,34.141,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),88.411,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.649,NA,NA,NA,NA
fixed,NA,(Intercept),814.004,16.776,48.522,89.236,0
fixed,NA,X_i,36.073,28.225,1.278,49.586,0.207
ran_pars,subj_id,sd__(Intercept),92.544,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.098,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.747,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),96.845,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.627,NA,NA,NA,NA
fixed,NA,(Intercept),793.8,14.14,56.139,115.216,0
fixed,NA,X_i,19.935,21.526,0.926,53.433,0.359
ran_pars,subj_id,sd__(Intercept),95.185,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.31,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.01,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.236,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.068,NA,NA,NA,NA
fixed,NA,(Intercept),806.397,17.046,47.308,118.005,0
fixed,NA,X_i,88.682,25.44,3.486,50.949,0.001
ran_pars,subj_id,sd__(Intercept),115.663,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.305,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.806,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.219,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.315,NA,NA,NA,NA
fixed,NA,(Intercept),786.909,15.574,50.528,116.42,0
fixed,NA,X_i,43.449,23.458,1.852,51.627,0.07
ran_pars,subj_id,sd__(Intercept),104.976,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.411,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.731,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.943,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.211,NA,NA,NA,NA
fixed,NA,(Intercept),796.51,16.5,48.275,111.736,0
fixed,NA,X_i,52.959,25.085,2.111,48.643,0.04
ran_pars,subj_id,sd__(Intercept),107.76,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.021,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,21.923,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.082,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.884,NA,NA,NA,NA
fixed,NA,(Intercept),787.841,15.003,52.513,97.694,0
fixed,NA,X_i,17.592,24.437,0.72,50.356,0.475
ran_pars,subj_id,sd__(Intercept),89.195,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.026,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.817,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.94,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.349,NA,NA,NA,NA
fixed,NA,(Intercept),798.154,13.035,61.234,106.036,0
fixed,NA,X_i,39.691,20.532,1.933,51.846,0.059
ran_pars,subj_id,sd__(Intercept),82.981,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.352,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.701,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),68.241,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.775,NA,NA,NA,NA
fixed,NA,(Intercept),795.052,17.167,46.313,106.708,0
fixed,NA,X_i,84.423,26.987,3.128,50.533,0.003
ran_pars,subj_id,sd__(Intercept),108.394,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.383,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.087,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.923,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.732,NA,NA,NA,NA
fixed,NA,(Intercept),797.791,15.27,52.245,120.413,0
fixed,NA,X_i,39.968,22.508,1.776,52.037,0.082
ran_pars,subj_id,sd__(Intercept),105.777,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.183,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.318,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.279,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.439,NA,NA,NA,NA
fixed,NA,(Intercept),804.245,16.452,48.884,108.412,0
fixed,NA,X_i,77.024,25.639,3.004,50.479,0.004
ran_pars,subj_id,sd__(Intercept),105.189,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.282,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.554,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.172,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.534,NA,NA,NA,NA
fixed,NA,(Intercept),775.949,14.303,54.249,118.508,0
fixed,NA,X_i,65.877,21.062,3.128,50.414,0.003
ran_pars,subj_id,sd__(Intercept),98.311,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.332,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,34.393,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),70.718,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.001,NA,NA,NA,NA
fixed,NA,(Intercept),790.991,16.446,48.096,110.944,0
fixed,NA,X_i,80.818,25.262,3.199,49.896,0.002
ran_pars,subj_id,sd__(Intercept),106.839,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.534,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.867,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.143,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.904,NA,NA,NA,NA
fixed,NA,(Intercept),821.961,14.173,57.996,98.661,0
fixed,NA,X_i,37.31,22.951,1.626,50.297,0.11
ran_pars,subj_id,sd__(Intercept),85.132,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.161,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.301,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.575,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.47,NA,NA,NA,NA
fixed,NA,(Intercept),785.635,15.782,49.78,115.465,0
fixed,NA,X_i,33.396,23.721,1.408,50.293,0.165
ran_pars,subj_id,sd__(Intercept),105.773,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.44,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.29,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.375,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.918,NA,NA,NA,NA
fixed,NA,(Intercept),795.062,15.222,52.232,114.343,0
fixed,NA,X_i,74.767,23.009,3.249,50.539,0.002
ran_pars,subj_id,sd__(Intercept),101.473,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.351,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.06,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.718,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.181,NA,NA,NA,NA
fixed,NA,(Intercept),801.255,13.668,58.622,117.151,0
fixed,NA,X_i,64.422,20.185,3.191,50.116,0.002
ran_pars,subj_id,sd__(Intercept),93.489,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.497,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.279,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),67.596,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.425,NA,NA,NA,NA
fixed,NA,(Intercept),821.453,16.04,51.213,98.233,0
fixed,NA,X_i,53.124,26.043,2.04,49.955,0.047
ran_pars,subj_id,sd__(Intercept),95.532,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.228,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.685,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),88.874,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.542,NA,NA,NA,NA
fixed,NA,(Intercept),778.656,15.301,50.888,112.629,0
fixed,NA,X_i,42.121,23.298,1.808,50.269,0.077
ran_pars,subj_id,sd__(Intercept),100.88,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.079,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.527,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.86,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.858,NA,NA,NA,NA
fixed,NA,(Intercept),833.866,14.69,56.765,98.781,0
fixed,NA,X_i,23.737,23.709,1.001,49.611,0.322
ran_pars,subj_id,sd__(Intercept),88.18,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.197,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.652,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.607,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.995,NA,NA,NA,NA
fixed,NA,(Intercept),808.73,17.892,45.202,98.157,0
fixed,NA,X_i,88.987,29.054,3.063,49.61,0.004
ran_pars,subj_id,sd__(Intercept),106.154,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.118,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.002,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),99.8,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.716,NA,NA,NA,NA
fixed,NA,(Intercept),782.198,14.683,53.273,122.554,0
fixed,NA,X_i,84.123,20.911,4.023,48.491,0
ran_pars,subj_id,sd__(Intercept),103.438,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.642,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,17.037,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),70.922,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.952,NA,NA,NA,NA
fixed,NA,(Intercept),794.17,15.646,50.76,107.546,0
fixed,NA,X_i,97.629,24.305,4.017,49.34,0
ran_pars,subj_id,sd__(Intercept),99.646,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.243,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,29.618,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.932,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.193,NA,NA,NA,NA
fixed,NA,(Intercept),830.067,14.37,57.764,108.824,0
fixed,NA,X_i,61.241,22.419,2.732,51.836,0.009
ran_pars,subj_id,sd__(Intercept),92.694,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.075,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.077,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.055,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.891,NA,NA,NA,NA
fixed,NA,(Intercept),816.139,15.725,51.902,87.276,0
fixed,NA,X_i,54.901,26.609,2.063,49.284,0.044
ran_pars,subj_id,sd__(Intercept),85.282,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.036,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.486,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.245,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.272,NA,NA,NA,NA
fixed,NA,(Intercept),823.797,14.833,55.538,124,0
fixed,NA,X_i,76.475,21.367,3.579,52.389,0.001
ran_pars,subj_id,sd__(Intercept),105.429,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.096,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.951,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.005,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.365,NA,NA,NA,NA
fixed,NA,(Intercept),801.571,14.617,54.84,126.819,0
fixed,NA,X_i,37.471,20.373,1.839,50.254,0.072
ran_pars,subj_id,sd__(Intercept),106.065,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.102,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,32.375,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),68.224,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.684,NA,NA,NA,NA
fixed,NA,(Intercept),810.379,15.735,51.502,116.937,0
fixed,NA,X_i,106.08,23.63,4.489,51.698,0
ran_pars,subj_id,sd__(Intercept),106.496,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.089,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.539,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.396,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.291,NA,NA,NA,NA
fixed,NA,(Intercept),814.709,14.862,54.82,113.256,0
fixed,NA,X_i,10.93,22.471,0.486,49.831,0.629
ran_pars,subj_id,sd__(Intercept),98.587,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.564,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,32.023,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.001,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.841,NA,NA,NA,NA
fixed,NA,(Intercept),828.109,17.004,48.7,85.416,0
fixed,NA,X_i,96.305,29.115,3.308,49.936,0.002
ran_pars,subj_id,sd__(Intercept),90.315,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.475,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.65,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),99.896,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.956,NA,NA,NA,NA
fixed,NA,(Intercept),816.199,16.842,48.461,104.049,0
fixed,NA,X_i,71.151,26.653,2.67,49.58,0.01
ran_pars,subj_id,sd__(Intercept),104.444,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.209,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,34.741,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.27,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.704,NA,NA,NA,NA
fixed,NA,(Intercept),815.465,15.902,51.279,113.409,0
fixed,NA,X_i,41.394,24.086,1.719,49.591,0.092
ran_pars,subj_id,sd__(Intercept),105.059,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.644,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.735,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.102,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.172,NA,NA,NA,NA
fixed,NA,(Intercept),792.453,15.967,49.632,112.347,0
fixed,NA,X_i,61.478,24.334,2.526,49.943,0.015
ran_pars,subj_id,sd__(Intercept),104.886,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.561,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.334,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.708,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.326,NA,NA,NA,NA
fixed,NA,(Intercept),795.611,15.377,51.741,119.363,0
fixed,NA,X_i,48.472,22.782,2.128,51.761,0.038
ran_pars,subj_id,sd__(Intercept),105.749,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.361,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.33,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.389,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.905,NA,NA,NA,NA
fixed,NA,(Intercept),767.649,16.191,47.412,114.796,0
fixed,NA,X_i,41.49,24.316,1.706,49.341,0.094
ran_pars,subj_id,sd__(Intercept),107.949,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.191,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,29.656,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.922,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.184,NA,NA,NA,NA
